x,f(x),S1(n=1),S2(n=2),S3(n=3),S4(n=4),S5(n=5),S6(n=6),S7(n=7),f(x)=S1+S2,f(x)=S1+S2+S3,f(x)=S1+...+S5,f(x)=S1+...+S7
1.12,0.90,-0.263289645,-0.019548721,0.032962492,-0.018066281,0.002610847,0.005716652,-0.006526881,0.919458139,0.886495647,0.901951081,0.90276131
1.14,0.91,-0.276390452,-0.012885172,0.030883073,-0.019278738,0.005060688,0.003930195,-0.006323146,0.925895397,0.895012324,0.909230374,0.911623326
1.16,0.92,-0.289049093,-0.006139202,0.028359471,-0.019998712,0.007308776,0.001918442,-0.005626907,0.931808068,0.903448597,0.916138533,0.919846998
1.18,0.92,-0.301245317,0.000646037,0.025427982,-0.02020781,0.009265486,-0.000203283,-0.004492393,0.937219052,0.91179107,0.922733394,0.92742907
1.20,0.93,-0.312959613,0.007427144,0.02213077,-0.019900691,0.01085281,-0.002313355,-0.00300797,0.942152241,0.920021471,0.929069351,0.934390676
1.22,0.94,-0.32417324,0.014160743,0.018515257,-0.0190852,0.012007467,-0.004290816,-0.00128926,0.946632269,0.928117012,0.935194744,0.94077482
1.24,0.95,-0.334868259,0.020803762,0.014633444,-0.017782169,0.012683425,-0.00602231,0.000529871,0.95068427,0.936050826,0.94114957,0.94664201
1.26,0.95,-0.345027561,0.027313707,0.010541162,-0.016024885,0.012853734,-0.007408581,0.002307729,0.954333626,0.943792464,0.946963615,0.952064467
1.28,0.96,-0.354634891,0.033648938,0.006297269,-0.013858238,0.012511605,-0.008370162,0.003905841,0.957605726,0.951308457,0.95265509,0.957119411
1.30,0.96,-0.363674882,0.03976893,0.001962805,-0.011337577,0.011670678,-0.008851932,0.005199731,0.960525724,0.958562919,0.958229818,0.961882019
1.32,0.97,-0.372133071,0.045634537,-0.00239989,-0.008527292,0.010364478,-0.008826273,0.006088617,0.963118306,0.965518196,0.96368101,0.966418665
1.34,0.97,-0.379995925,0.051208239,-0.006728068,-0.005499174,0.008645079,-0.008294656,0.006503267,0.965407459,0.972135527,0.968989622,0.970781011
1.36,0.98,-0.387250868,0.056454383,-0.010959478,-0.002330577,0.006581028,-0.007287556,0.006411383,0.967416258,0.978375736,0.974125285,0.975001458
1.38,0.98,-0.393886292,0.061339411,-0.015033261,0.000897555,0.004254612,-0.005862704,0.005820122,0.969166653,0.984199914,0.979047747,0.979090328
1.40,0.99,-0.399891581,0.065832076,-0.018890824,0.004102759,0.001758578,-0.004101778,0.004775537,0.970679277,0.989570102,0.983708764,0.983035005
1.42,0.99,-0.40525713,0.069903641,-0.022476686,0.007203156,-0.000807565,-0.002105721,0.003358989,0.971973261,0.994449947,0.988054356,0.986801087
1.44,0.99,-0.409974353,0.073528061,-0.025739272,0.010119546,-0.003341512,1.10443E-05,0.001680813,0.973066064,0.998805336,0.992027303,0.990335446
1.46,0.99,-0.414035705,0.076682153,-0.028631657,0.012777427,-0.005742245,0.002127176,-0.00012828,0.973973325,1.002604982,0.9955698,0.993570904
1.48,1.00,-0.417434688,0.07934574,-0.03111224,0.015108903,-0.007914052,0.00412137,-0.001927382,0.974708721,1.005820961,0.99862611,0.996432122
1.50,1.00,-0.420165865,0.081501785,-0.033145345,0.017054416,-0.00977035,0.00587931,-0.003576362,0.975283852,1.008429197,1.001145132,0.998842183
1.52,1.00,-0.422224866,0.083136497,-0.034701729,0.018564267,-0.011237136,0.007300224,-0.004946782,0.975708141,1.010409871,1.00308274,1.000729297
1.54,1.00,-0.423608397,0.084239419,-0.035759008,0.019599885,-0.012255933,0.00830266,-0.005931901,0.97598875,1.011747758,1.004403806,1.002033047
1.56,1.00,-0.424314246,0.084803497,-0.036301974,0.020134816,-0.012786124,0.008829154,-0.00645499,0.976130521,1.012432496,1.005083804,1.00270964
1.58,1.00,-0.424341282,0.084825121,-0.03632282,0.020155394,-0.012806573,0.008849525,-0.006475305,0.976135933,1.012458752,1.005109931,1.002735712
1.60,1.00,-0.423689462,0.084304154,-0.035821243,0.019661094,-0.012316464,0.008362605,-0.005991265,0.97600508,1.011826323,1.004481694,1.002110354
1.62,1.00,-0.42235983,0.083243928,-0.03480446,0.018664542,-0.011335336,0.007396307,-0.00504057,0.975735674,1.010540133,1.003210928,1.000855191
1.64,1.00,-0.420354512,0.081651226,-0.033287094,0.017191197,-0.009902305,0.006006022,-0.00369727,0.975323058,1.008610152,1.00132126,0.999012507
1.66,1.00,-0.417676716,0.079536233,-0.031290968,0.015278695,-0.0080745,0.004271448,-0.002065992,0.974760255,1.006051223,0.998847027,0.996641571
1.68,0.99,-0.414330727,0.076912481,-0.028844793,0.012975893,-0.00592479,0.002292018,-0.000273796,0.974038018,1.002882811,0.995831708,0.993813487
1.70,0.99,-0.410321897,0.073796751,-0.025983751,0.010341615,-0.003538877,0.000181199,0.001539725,0.973144918,0.999128669,0.992325931,0.990605006
1.72,0.99,-0.405656639,0.070208974,-0.022748991,0.007443157,-0.001011881,-0.001940006,0.003233319,0.972067438,0.99481643,0.988385153,0.98709184
1.74,0.99,-0.400342418,0.066172099,-0.01918704,0.00435456,0.001555456,-0.003950003,0.004675073,0.970790092,0.989977131,0.984067115,0.983342046
1.76,0.98,-0.394387734,0.061711948,-0.015349126,0.001154723,0.004060782,-0.005733569,0.005752689,0.969295558,0.984644684,0.979429179,0.979410059
1.78,0.98,-0.387802114,0.056857051,-0.01129045,-0.002074611,0.006404217,-0.007188464,0.006382233,0.967564835,0.978855285,0.974525678,0.975331909
1.80,0.97,-0.380596093,0.051638463,-0.007069386,-0.005250948,0.008492337,-0.008231287,0.00651467,0.965577402,0.972646788,0.969405399,0.971122016
1.82,0.97,-0.372781199,0.046089566,-0.002746646,-0.008293148,0.010241894,-0.008802259,0.006139686,0.963311406,0.966058051,0.964109306,0.966771879
1.84,0.96,-0.364369935,0.040245852,0.001615599,-0.011123495,0.011583138,-0.00886865,0.005286487,0.960743855,0.959128256,0.958668613,0.962250777
1.86,0.96,-0.355375757,0.034144702,0.005954607,-0.013669688,0.0124626,-0.008426655,0.004021528,0.957850827,0.95189622,0.953103308,0.957508435
1.88,0.95,-0.345813054,0.027825143,0.010207972,-0.015866683,0.012845217,-0.007501609,0.002443336,0.954607683,0.944399711,0.947421178,0.952479451
1.90,0.95,-0.335697123,0.021327598,0.014314518,-0.017658357,0.012715736,-0.006146541,0.000674834,0.950989298,0.93667478,0.941617401,0.947089107
1.92,0.94,-0.325044149,0.014693629,0.018215182,-0.01899894,0.012079318,-0.004439128,-0.001146229,0.946970292,0.92875511,0.935674732,0.941260089
1.94,0.93,-0.313871173,0.007965671,0.021853863,-0.019854187,0.010961336,-0.002477246,-0.002878014,0.942525275,0.920671412,0.929564263,0.934919523
1.96,0.93,-0.302196071,0.001186759,0.025178225,-0.02020225,0.009406361,-0.000373358,-0.004385633,0.937629084,0.912450859,0.923246749,0.92800574
1.98,0.92,-0.290037519,-0.005599743,0.028140455,-0.020034238,0.007476383,0.001751932,-0.005551659,0.932257034,0.904116579,0.916674434,0.920474162
2.00,0.91,-0.277414969,-0.012350426,0.030697949,-0.019354443,0.005248346,0.003776794,-0.006285271,0.926385168,0.895687218,0.909793316,0.912301793
2.02,0.90,-0.264348614,-0.019022109,0.032813923,-0.01818023,0.002811073,0.005585155,-0.006529329,0.919990495,0.887176572,0.902545729,0.903489903
2.04,0.89,-0.250859358,-0.025572115,0.034457943,-0.016541596,0.000261732,0.007073352,-0.006264823,0.913051245,0.878593302,0.894873165,0.894064636
2.06,0.88,-0.23696878,-0.031958547,0.035606364,-0.014480399,-0.002298043,0.008156076,-0.005512355,0.9055471,0.869940736,0.886719177,0.884075456
2.08,0.87,-0.222699103,-0.038140553,0.036242668,-0.012049294,-0.004766203,0.008771261,-0.004330535,0.897459429,0.86121676,0.878032257,0.873591531
2.10,0.86,-0.208073155,-0.04407859,0.036357704,-0.009310384,-0.007044349,0.008883641,-0.002811413,0.888771517,0.852413813,0.868768546,0.862696319
2.12,0.85,-0.193114334,-0.049734674,0.035949817,-0.006333637,-0.009041659,0.008486776,-0.001073313,0.879468781,0.843518964,0.85889426,0.851480798
2.14,0.84,-0.177846572,-0.055072626,0.035024873,-0.003195094,-0.010678507,0.007603414,0.000748386,0.86953897,0.834514097,0.848387699,0.840035899
2.16,0.83,-0.162294292,-0.060058301,0.033596176,2.50688E-05,-0.011889637,0.006284193,0.002511795,0.858972366,0.82537619,0.837240758,0.82844477
