x,f(x),S1(n=1),S2(n=2),S3(n=3),S4(n=4),S5(n=5),S6(n=6),S7(n=7),f(x)=S1+S2+S3,f(x)=S1+...+S5,f(x)=S1+...+S7
1.78,-0.22,-0.405796715,0.312671743,-0.185958053,0.058588842,0.039345266,-0.089585975,0.090228548,-0.279083025,-0.181148917,-0.180506345
1.80,-0.20,-0.374195714,0.302730691,-0.201820461,0.093548928,1.40392E-16,-0.062365952,0.086494483,-0.273285483,-0.179736555,-0.155608024
1.82,-0.18,-0.341117932,0.288015396,-0.210533278,0.122630991,-0.039345266,-0.026386817,0.066296549,-0.263635815,-0.180350089,-0.140440357
1.84,-0.16,-0.306693914,0.268757926,-0.21178785,0.144007698,-0.074839143,0.013298269,0.033479338,-0.249723838,-0.180555283,-0.133777675
1.86,-0.14,-0.271059516,0.245261983,-0.205539731,0.156335871,-0.103007243,0.051115652,-0.005710527,-0.231337264,-0.178008635,-0.132603509
1.88,-0.12,-0.234355369,0.217898111,-0.192010264,0.158840887,-0.121092277,0.081753994,-0.043813416,-0.208467522,-0.170718911,-0.132778333
1.90,-0.10,-0.196726329,0.187097857,-0.171678738,0.151365346,-0.127323954,0.10091023,-0.073576602,-0.18130721,-0.157265819,-0.129932191
1.92,-0.08,-0.158320899,0.153346957,-0.145265408,0.134378963,-0.121092277,0.105893925,-0.089334784,-0.15023935,-0.136952663,-0.120393522
1.94,-0.06,-0.11929065,0.117177684,-0.113705977,0.108949056,-0.103007243,0.096005132,-0.088088456,-0.115818943,-0.10987713,-0.101960454
1.96,-0.04,-0.079789615,0.07916045,-0.078118456,0.076673479,-0.074839143,0.072632704,-0.070074852,-0.078747621,-0.076913285,-0.074355434
1.98,-0.02,-0.039973686,0.039894807,-0.03976355,0.039580225,-0.039345266,0.039059228,-0.038722788,-0.039842429,-0.03960747,-0.03927103
2.00,0.00,-1.55991E-16,1.55991E-16,-1.55991E-16,1.55991E-16,-1.55991E-16,1.55991E-16,-1.55991E-16,-1.55991E-16,-1.55991E-16,-1.55991E-16
2.02,0.02,0.039973686,-0.039894807,0.03976355,-0.039580225,0.039345266,-0.039059228,0.038722788,0.039842429,0.03960747,0.03927103
2.04,0.04,0.079789615,-0.07916045,0.078118456,-0.076673479,0.074839143,-0.072632704,0.070074852,0.078747621,0.076913285,0.074355434
2.06,0.06,0.11929065,-0.117177684,0.113705977,-0.108949056,0.103007243,-0.096005132,0.088088456,0.115818943,0.10987713,0.101960454
2.08,0.08,0.158320899,-0.153346957,0.145265408,-0.134378963,0.121092277,-0.105893925,0.089334784,0.15023935,0.136952663,0.120393522
