x,f(x),S1(n=1),S2(n=2),S3(n=3),S4(n=4),S5(n=5),S6(n=6),S7(n=7),f(x)=S1+S2,f(x)=S1+S2+S3,f(x)=S1+...+S5,f(x)=S1+...+S7
4.40,0.00,-0.172119283,0.013400581,0.005436695,-0.008090243,0.006429495,-0.003656424,0.001085488,0.001227551,-0.004209143,-0.002548396,2.254E-05
4.42,0.00,-0.176945214,0.016575904,0.003319678,-0.007022269,0.006278718,-0.004155306,0.001894106,-9.98076E-05,-0.003419486,-0.002675935,-0.000414735
4.44,0.00,-0.18148807,0.019645197,0.001154916,-0.005774909,0.005877629,-0.00441599,0.002555195,-0.001412707,-0.002567623,-0.002670342,-0.000809547
4.46,0.00,-0.185740583,0.022588828,-0.001026458,-0.004380026,0.005242217,-0.004423531,0.003017261,-0.002697666,-0.001671209,-0.002533399,-0.001127129
4.48,0.00,-0.189695951,0.025387968,-0.003193068,-0.002873254,0.004397814,-0.004177498,0.003244315,-0.003941622,-0.000748555,-0.002273115,-0.001339933
4.50,0.00,-0.193347847,0.028024711,-0.005313753,-0.001293083,0.003378084,-0.003691993,0.003218673,-0.005132038,0.000181715,-0.001903287,-0.001429966
4.52,0.00,-0.196690427,0.030482192,-0.007358011,0.000320121,0.002223681,-0.002994849,0.002942331,-0.006257006,0.001101005,-0.001442797,-0.001390279
4.54,0.00,-0.199718344,0.032744691,-0.009296442,0.001925146,0.000980627,-0.002126027,0.002436814,-0.007305352,0.00199109,-0.000914683,-0.00122547
4.56,0.00,-0.202426754,0.034797736,-0.011101164,0.003480993,-0.000301522,-0.001135333,0.001741495,-0.008266721,0.002834443,-0.000345029,-0.00095119
4.58,0.00,-0.204811325,0.036628194,-0.012746222,0.004947917,-0.00157165,-7.95574E-05,0.000910532,-0.009131668,0.003614554,0.000238287,-0.000592688
4.60,0.00,-0.206868241,0.038224356,-0.014207953,0.006288444,-0.002779121,0.000980779,8.64953E-06,-0.00989173,0.004316223,0.000806901,-0.000182528
4.62,0.00,-0.208594213,0.039576013,-0.015465336,0.007468329,-0.003875798,0.001984893,-0.000893907,-0.010539501,0.004925835,0.001333304,0.000242318
4.64,0.00,-0.209986478,0.040674519,-0.016500285,0.008457434,-0.004817959,0.002875225,-0.001726838,-0.011068685,0.0054316,0.001792125,0.000643738
4.66,0.00,-0.211042809,0.041512846,-0.017297915,0.009230489,-0.005568043,0.003600738,-0.002425267,-0.011474156,0.005823759,0.002161313,0.000985842
4.68,0.00,-0.211761517,0.042085633,-0.017846754,0.009767747,-0.006096146,0.004119841,-0.002934794,-0.011751991,0.006094763,0.002423162,0.001238115
4.70,0.00,-0.212141452,0.042389215,-0.018138907,0.010055484,-0.006381216,0.004402779,-0.003215733,-0.011899506,0.006239402,0.002565133,0.001378087
4.72,0.00,-0.212182006,0.042421651,-0.018170174,0.01008635,-0.006411887,0.004433332,-0.003246201,-0.011915277,0.006254896,0.002580433,0.001393302
4.74,0.00,-0.211883114,0.042182734,-0.017940104,0.009859555,-0.006186935,0.004209748,-0.003023825,-0.011799154,0.00614095,0.00246833,0.001282408
4.76,0.00,-0.211245254,0.041673991,-0.017452006,0.009380894,-0.005715331,0.003744844,-0.002565926,-0.011552255,0.005899751,0.002234188,0.00105527
4.78,0.00,-0.210269446,0.040898676,-0.016712901,0.008662593,-0.005015874,0.00306527,-0.00190817,-0.011176966,0.005535935,0.001889215,0.000732115
4.80,0.00,-0.208957253,0.03986175,-0.015733419,0.007723003,-0.00411645,0.002209983,-0.001101787,-0.010676915,0.005056504,0.001449951,0.000341755
4.82,0.00,-0.207310772,0.038569844,-0.014527647,0.006586126,-0.003052916,0.001228011,-0.000209588,-0.010056945,0.004470702,0.000937492,-8.09308E-05
